INFO 2025-10-21 07:25:50,586 autoreload 30596 35496 Watching for file changes with StatReloader
INFO 2025-10-21 07:37:36,495 basehttp 8716 33988 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:37:42,690 basehttp 8716 33988 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:37:42,748 basehttp 8716 33988 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:37:44,030 basehttp 8716 33988 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:37:44,146 basehttp 8716 33988 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:39:39,992 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:39:40,002 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:39:40,127 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:39:40,148 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:39:40,204 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:39:40,242 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:40:42,545 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:40:42,554 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
INFO 2025-10-21 07:40:42,785 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:40:42,809 basehttp 8716 34440 "GET /api/users/users/ HTTP/1.1" 200 14607
INFO 2025-10-21 07:40:42,884 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:40:42,910 basehttp 8716 34440 "GET /api/courses/departments/ HTTP/1.1" 200 830
INFO 2025-10-21 07:42:11,074 basehttp 8716 34440 "OPTIONS /api/users/auth/me/ HTTP/1.1" 200 0
INFO 2025-10-21 07:42:11,091 basehttp 8716 34440 "GET /api/users/auth/me/ HTTP/1.1" 200 325
